t_loc_time,t_data_time,x,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,e_loc_time,e_data_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
2023-02-02 16:15:22.585,2023-02-02 16:15:22.613,41.39631029053988,2.153432152952355,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:19.010,2023-01-19 12:42:19.050,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:24.606,2023-02-02 16:15:24.638,41.396264394373524,2.153491225484056,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:21.013,2023-01-19 12:42:21.066,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:26.601,2023-02-02 16:15:26.627,41.3962454650249,2.153515589273788,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:22.995,2023-01-19 12:42:23.033,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:27.610,2023-02-02 16:15:27.638,41.39623676214182,2.153526790674205,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:23.999,2023-01-19 12:42:24.036,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:28.620,2023-02-02 16:15:28.647,41.39623090409743,2.153534330509023,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:25.002,2023-01-19 12:42:25.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:30.623,2023-02-02 16:15:30.650,41.39621844362901,2.1535503682628003,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:26.999,2023-01-19 12:42:27.039,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:32.646,2023-02-02 16:15:32.681,41.39621501049603,2.153554787016543,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:29.014,2023-01-19 12:42:29.051,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:34.653,2023-02-02 16:15:34.685,41.396213408339776,2.153556849137055,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:31.003,2023-01-19 12:42:31.042,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:36.661,2023-02-02 16:15:36.688,41.39621129360564,2.153559570991825,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:33.003,2023-01-19 12:42:33.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:38.672,2023-02-02 16:15:38.699,41.3962099792763,2.1535612626529743,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:35.000,2023-01-19 12:42:35.041,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:40.678,2023-02-02 16:15:40.705,41.396208965821515,2.153562567061265,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:37.002,2023-01-19 12:42:37.043,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:41.688,2023-02-02 16:15:41.723,41.3962080684889,2.1535637220097814,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:38.007,2023-01-19 12:42:38.040,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:43.697,2023-02-02 16:15:43.724,41.39620694051826,2.1535651738103736,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:40.003,2023-01-19 12:42:40.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:44.714,2023-02-02 16:15:44.743,41.39620661474167,2.1535655931144158,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:41.009,2023-01-19 12:42:41.053,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:46.735,2023-02-02 16:15:46.766,41.39620630415132,2.153565992872385,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:43.019,2023-01-19 12:42:43.056,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:48.731,2023-02-02 16:15:48.758,41.396206194041326,2.15356613459394,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:45.006,2023-01-19 12:42:45.037,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:50.740,2023-02-02 16:15:50.767,41.39620616281906,2.15356617477983,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:47.003,2023-01-19 12:42:47.052,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:52.749,2023-02-02 16:15:52.777,41.396206166929865,2.153566169488854,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:48.997,2023-01-19 12:42:49.043,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:53.763,2023-02-02 16:15:53.796,41.39620617353217,2.153566160991088,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:50.007,2023-01-19 12:42:50.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:55.767,2023-02-02 16:15:55.798,41.39620618530986,2.153566145832137,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:52.000,2023-01-19 12:42:52.039,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:56.772,2023-02-02 16:15:56.809,41.39620619370141,2.153566135031442,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:53.000,2023-01-19 12:42:53.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:15:58.784,2023-02-02 16:15:58.815,41.39620619549067,2.153566132728507,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:55.003,2023-01-19 12:42:55.037,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:01.803,2023-02-02 16:16:01.828,41.3962062021154,2.1535661242018795,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:57.996,2023-01-19 12:42:58.030,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:02.806,2023-02-02 16:16:02.833,41.39620620337236,2.1535661225840554,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:42:58.995,2023-01-19 12:42:59.038,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
