dst_timestamp,data,timestamp
2023-02-01 06:17:54.638,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:17:55.654,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:17:57.670,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:17:58.687,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:17:59.688,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:00.700,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:02.705,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:03.725,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:05.740,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:07.764,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:09.784,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:10.784,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:11.810,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:12.815,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:13.822,"[31, 2, 2, 0, 8191, 0, 0, 0, 0, 197, 1, 1]",
2023-02-01 06:18:15.841,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:16.981,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:18.851,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:19.875,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:20.909,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:21.925,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:22.928,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:24.907,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:25.921,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:26.930,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:27.955,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:28.992,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:30.986,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:31.995,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:33.988,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:35.017,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:36.031,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:38.042,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:39.056,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:40.075,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:42.084,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:44.084,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:45.098,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:46.137,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:18:48.125,"[20, 2, 2, 0, 8191, 1, 0, 0, 2, 197, 1, 1]",
